Provider ID,H_QUIET_HSP_A_P,HAI1,H_CLEAN_HSP_A_P,H_COMP_1_A_P,H_COMP_3_A_P,H_COMP_7_SA,MORT_30_AMI,MORT_30_PN,PN_6,HAI4,H_COMP_5_A_P,MORT_30_HF,SCIP_INF_2,H_CLEAN_QUIET,MSPB_1,SCIP_VTE_2,AMI_7A,H_COMP_2_A_P,H_COMP_4_A_P,PSI_90_SAFETY,HAI2,HAI3,H_COMP_7_A,SCIP_INF_3,H_COMP_7,IMM_2,SCIP_CARD_2,SCIP_INF_9
10005,0.73,3.063,0.73,0.83,0.67,0.56,0.831,0.861,0.96,,0.7,0.837,0.99,0.73,0.897,1,,0.87,0.74,,0.522,0.325,0.39,1,0.95,0.96,0.99,0.99
10016,0.63,0.436,0.6,0.77,0.59,0.49,0.877,0.877,0.99,,0.64,0.87,0.99,0.615,1.003,1,,0.82,0.69,,0.649,0.489,0.44,0.97,0.93,0.97,1,0.99
10022,0.76,,0.74,0.89,0.75,0.65,,0.89,0.94,,0.69,0.863,,0.75,0.644,,,0.91,0.83,,,,0.32,,0.97,0.99,,
10024,0.66,0.673,0.68,0.79,0.63,0.5,0.851,0.848,0.94,0,0.67,0.906,1,0.67,1.085,1,,0.84,0.72,,1.784,0.91,0.45,0.98,0.95,0.95,0.96,0.97
10034,0.7,,0.77,0.89,0.75,0.61,,0.908,0.94,,0.73,0.905,,0.735,0.802,0.94,,0.92,0.74,,,,0.35,,0.96,0.85,,
10051,,,,,,,,,0.73,,,0.893,,,0.66,,,,,,,,,,,0.51,,
10058,0.58,,0.76,0.8,0.67,0.56,,0.842,0.75,,0.62,,,0.67,0.815,,,0.86,0.8,,,,0.41,,0.97,0.76,,
10079,0.69,,0.73,0.83,0.65,0.53,,0.888,0.99,,0.72,0.891,0.99,0.71,0.843,1,,0.84,0.73,,0.971,,0.43,0.99,0.96,0.99,1,1
10108,0.72,,0.75,0.82,0.64,0.56,0.864,0.85,0.96,,0.68,0.9,1,0.735,0.845,1,,0.86,0.74,,0,,0.38,,0.94,0.9,,
10128,0.76,,0.81,0.86,0.76,0.51,,0.877,1,,0.68,0.866,,0.785,0.614,,,0.88,0.71,,,,0.43,,0.94,0.96,,
10129,0.69,,0.76,0.82,0.73,0.49,,0.873,0.97,,0.69,0.878,1,0.725,0.694,1,,0.88,0.74,,,,0.45,1,0.94,0.96,,0.96
10164,0.74,,0.65,0.8,0.64,0.5,0.853,0.89,1,,0.62,0.883,1,0.695,0.825,1,,0.87,0.72,,0,0,0.44,0.98,0.94,1,0.96,1
20006,0.6,0,0.75,0.73,0.57,0.53,0.847,0.891,1,,0.63,0.84,1,0.675,0.708,1,,0.77,0.67,,0.595,0.59,0.41,0.99,0.94,1,1,0.99
21304,0.48,,0.81,0.65,0.67,0.34,,,,,0.05,,,0.645,,,,0.72,0.65,,,,0.63,,0.97,,,
21306,0.7,,0.76,0.88,0.8,0.62,,0.876,1,,0.77,,,0.73,,,,0.92,0.72,,,,0.36,,0.98,,,
21308,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,
21313,0.67,,0.8,0.82,0.71,0.58,,0.874,,,0.7,0.88,,0.735,,,,0.85,0.74,,,,0.39,,0.97,,,
30012,0.45,0.506,0.72,0.8,0.7,0.52,0.856,0.864,0.96,,0.63,0.894,1,0.585,0.993,1,,0.79,0.7,,0,0,0.43,1,0.95,0.94,1,1
30014,0.53,0.982,0.72,0.78,0.62,0.53,0.844,0.882,0.99,,0.65,0.881,0.99,0.625,1.09,1,,0.76,0.67,,1.176,0.926,0.41,0.99,0.94,0.95,1,0.99
30038,0.49,0.052,0.68,0.76,0.67,0.5,0.853,0.881,0.92,,0.61,0.906,1,0.585,1.129,1,,0.75,0.7,,1.429,1.348,0.43,0.98,0.93,0.86,0.99,0.99
30069,0.51,0,0.62,0.74,0.59,0.45,0.829,0.874,0.98,,0.55,0.87,0.99,0.565,0.933,1,,0.76,0.65,,0.795,0,0.46,0.97,0.91,1,0.98,0.98
30071,0.61,,0.66,0.72,0.63,0.42,,0.908,0.93,,0.62,0.886,,0.635,0.493,0.7,,0.71,0.7,,,,0.5,,0.92,0.83,,0.69
30093,0.54,0,0.66,0.77,0.67,0.52,0.866,0.89,0.98,0.878,0.61,0.876,0.98,0.6,1.014,1,,0.76,0.68,,0,0.466,0.42,0.99,0.94,0.98,0.95,0.92
30103,0.67,0.09,0.76,0.85,0.8,0.66,0.882,0.918,0.97,0.924,0.7,0.901,0.99,0.715,1.163,1,,0.86,0.77,,0.46,0.747,0.31,0.99,0.97,0.95,1,1
30113,0.49,,0.73,0.78,0.6,0.31,,0.883,0.62,,0.67,,,0.61,0.495,,,0.8,0.67,,,,0.59,,0.9,0.74,,
30117,0.6,,0.7,0.76,0.63,0.49,0.867,0.877,1,,0.55,0.87,0.99,0.65,0.793,1,,0.71,0.68,,,,0.43,0.96,0.92,0.99,0.98,0.97
03033F,,,,,,,,0.879,0.85,,,0.876,,,,,,,,,,,,,,0.51,,
