provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,rate_of_mortality,rate_of_complication,patient_experience,medicare_coverage,rank_value,abs_rank_value
40134,"ARKANSAS HEART HOSPITAL, LLC",1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,PULASKI,5012197000,Acute Care Hospitals,Proprietary,Yes,0.8843,0.9504,0.7389,0.6102,0.7959,0.7960
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,MO,65302,PETTIS,6608268833,Acute Care Hospitals,Government - Local,Yes,0.8787,0.9585,0.6544,0.6885,0.795,0.7950
100285,MEMORIAL HOSPITAL MIRAMAR,1901 SW 172ND AVE,MIRAMAR,FL,33029,BROWARD,9545384810,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8807,0.9458,0.69,0.6525,0.7923,0.7923
180128,THREE RIVERS MEDICAL CENTER,2485 HIGHWAY 644,LOUISA,KY,41230,LAWRENCE,6066389451,Acute Care Hospitals,Proprietary,Yes,0.875,0.8859,0.68,0.7249,0.7915,0.7915
370171,W W HASTINGS INDIAN HOSPITAL,100 S BLISS AVENUE,TAHLEQUAH,OK,74464,CHEROKEE,9184583100,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.889,0.8887,0.6956,0.6925,0.7914,0.7915
110105,COLQUITT REGIONAL MEDICAL CENTER,3131 THOMASVILLE HWY BOX 40,MOULTRIE,GA,31768,COLQUITT,2299853420,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.8885,0.9402,0.6867,0.6477,0.7908,0.7908
110023,GORDON HOSPITAL,1035 RED BUD ROAD,CALHOUN,GA,30701,GORDON,7066292895,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8807,0.914,0.7144,0.6501,0.7898,0.7898
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,2233 W DIVISION ST,CHICAGO,IL,60622,COOK,3127702000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8883,0.9582,0.6633,0.6417,0.7879,0.7879
520028,THE MONROE CLINIC,2005 5TH STREET,MONROE,WI,53566,GREEN,6083241000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.8747,0.9301,0.7122,0.6269,0.786,0.7860
250042,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,1970 HOSPITAL DRIVE,CLARKSDALE,MS,38614,COAHOMA,6626273211,Acute Care Hospitals,Proprietary,Yes,0.8827,0.9301,0.6733,0.6557,0.7855,0.7855
100319,FLORIDA HOSPITAL WESLEY CHAPEL,2600 BRUCE B DOWNS BLVD,WESLEY CHAPEL,FL,33544,PASCO,8139295490,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.908,0.9205,0.7,0.6118,0.7851,0.7851
230081,MUNSON HEALTHCARE CADILLAC HOSPITAL,400 HOBART ST,CADILLAC,MI,49601,WEXFORD,2318767200,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.886,0.9019,0.6844,0.6665,0.7847,0.7847
